signal_date,next_trade_date,stock_name,ts_code,run_tag
20260717,20260720,贵绳股份,600992.SH,1
20260717,20260720,杭州热电,605011.SH,1
20260717,20260720,宁波能源,600982.SH,1
20260717,20260720,赤天化,600227.SH,1
20260717,20260720,湘财股份,600095.SH,1
20260717,20260720,陕鼓动力,601369.SH,1
20260717,20260720,珍宝岛,603567.SH,1
20260720,20260721,涪陵电力,600452.SH,1
20260720,20260721,闰土股份,002440.SZ,1
20260720,20260721,立新能源,001258.SZ,1
20260720,20260721,粤电力A,000539.SZ,1
20260720,20260721,华银电力,600744.SH,1
20260720,20260721,运机集团,001288.SZ,1
20260720,20260721,紫光股份,000938.SZ,1
20260720,20260721,杭钢股份,600126.SH,1
20260720,20260721,浙大网新,600797.SH,1
20260721,20260722,广合科技,001389.SZ,1
20260721,20260722,星网锐捷,002396.SZ,1
20260721,20260722,通富微电,002156.SZ,1
20260721,20260722,华银电力,600744.SH,1
20260721,20260722,深科技,000021.SZ,1
20260721,20260722,翠微股份,603123.SH,1
20260721,20260722,证通电子,002197.SZ,1
20260721,20260722,智度股份,000676.SZ,1
20260721,20260722,新大陆,000997.SZ,1
20260722,20260723,金牛化工,600722.SH,1
20260722,20260723,长缆科技,002879.SZ,1
20260722,20260723,神州数码,000034.SZ,1
20260722,20260723,天安新材,603725.SH,1
20260723,20260724,中岩大地,003001.SZ,1
20260723,20260724,宏桥控股,002379.SZ,1
20260723,20260724,益坤电气,920222.BJ,1
20260723,20260724,望变电气,603191.SH,1
20260723,20260724,奥瑞德,600666.SH,1
20260723,20260724,证通电子,002197.SZ,1
